country;gdpPercap_1952;gdpPercap_1957;gdpPercap_1962;gdpPercap_1967;gdpPercap_1972;gdpPercap_1977;gdpPercap_1982;gdpPercap_1987;gdpPercap_1992;gdpPercap_1997;gdpPercap_2002;gdpPercap_2007
Nepal;5.458.657.229;5.979.363.558;6.523.968.593;6.764.422.254;6.747.881.296;6.941.124.398;7.183.730.947;7.756.324.501;8.977.403.604;1.010.892.138;1.057.206.311;1.091.359.778
Oman;1.828.230.307;2.242.746.551;2.924.638.113;4.720.942.687;1.061.803.855;1.184.834.392;1.295.479.101;1.811.522.313;1.861.670.691;1.970.205.581;1.977.483.687;2.231.619.287
Pakistan;6.845.971.438;7.470.835.292;8.033.427.418;9.424.082.588;1.049.938.981;1.175.921.193;1.443.429.832;1.704.686.583;1.971.829.464;2.049.350.521;2.092.712.441;260.594.758
Philippines;1.272.880.995;1.547.944.844;1.649.552.153;181.412.743;198.937.407;2.373.204.287;2.603.273.765;2.189.634.995;2.279.324.017;2.536.534.925;2.650.921.068;3.190.481.016
Saudi Arabia;6.459.554.823;8.157.591.248;1.162.641.975;1.690.304.886;2.483.742.865;341.677.626;3.369.317.525;2.119.826.136;2.484.161.777;2.058.669.019;1.901.454.118;2.165.483.194
Singapore;2.315.138.227;2.843.104.409;3.674.735.572;497.741.854;8.597.756.202;1.121.008.948;1.516.916.112;1.886.153.081;247.698.912;335.194.766;360.231.054;4.714.317.964
Sri Lanka;108.353.203;1.072.546.602;107.447.196;1.135.514.326;121.339.553;1.348.775.651;1.648.079.789;1.876.766.827;2.153.739.222;2.664.477.257;3.015.378.833;3.970.095.407
Syria;1.643.485.354;2.117.234.893;2.193.037.133;1.881.923.632;2.571.423.014;3.195.484.582;3.761.837.715;3.116.774.285;3.340.542.768;4.014.238.972;4.090.925.331;4.184.548.089
Taiwan;1.206.947.913;150.786.129;1.822.879.028;2.643.858.681;4.062.523.897;5.596.519.826;7.426.354.774;1.105.456.175;152.156.579;2.020.682.098;2.323.542.329;2.871.827.684
Thailand;7.577.974.177;7.935.774.148;1.002.199.172;129.546.066;1.524.358.936;1.961.224.635;2.393.219.781;2.982.653.773;4.616.896.545;5.852.625.497;5.913.187.529;7.458.396.327
Vietnam;6.050.664.917;6.762.854.478;7.720.491.602;6.371.232.887;6.995.016.441;7.135.371.196;7.072.357.863;8.207.994.449;9.890.231.487;1.385.896.769;1.764.456.677;2.441.576.404
West Bank and Gaza;1.515.592.329;1.827.067.742;2.198.956.312;2.649.715.007;3.133.409.277;3.682.831.494;4.336.032.082;5.107.197.384;6.017.654.756;7.110.667.619;4.515.487.575;3.025.349.798
Yemen Rep.;7.817.175.761;8.048.304.547;8.256.232.006;8.624.421.463;1.265.047.031;1.829.765.177;197.755.701;1.971.741.538;1.879.496.673;2.117.484.526;2.234.820.827;2.280.769.906
